county,testSites,totPop,totNHWA,totNHBA,totNHIA,totNHAA,totNHNA,totNHTOM,totHWA,totHBA,totHIA,totHAA,totHNA,totHTOM,totNH,totH,H_perc,NH_perc,totPop_class,site_perc,corr_testSites,H_to_sites,NH_to_sites
Dare,3,34156,30222,831,104,209,15,515,2055,2055,62,3,3,59,31896,4237,0.12404848342897294,0.9338330015224265,30000-45000,0.008571428571428572,0.3,1412.3333333333333,10632.0
Davie,1,41335,35278,2540,107,254,6,550,2278,2278,138,34,0,58,38735,4786,0.11578565380428209,0.937099310511673,30000-45000,0.002857142857142857,0.1,4786.0,38735.0
Gates,1,12043,7565,3999,59,20,8,210,138,138,5,1,4,18,11861,304,0.025242879681142572,0.9848874865066843,<15000,0.002857142857142857,0.1,304.0,11861.0
Halifax,3,54114,21257,28709,1946,379,9,595,753,753,113,23,27,35,52895,1704,0.031489078611819495,0.9774734819085634,45000-60000,0.008571428571428572,0.3,568.0,17631.666666666668
Hoke,2,49468,20432,16222,4322,555,114,1663,4649,4649,518,82,73,272,43308,10243,0.2070631519366055,0.875475054580739,45000-60000,0.005714285714285714,0.2,5121.5,21654.0
Hyde,3,5798,3445,1819,22,18,1,65,389,389,17,2,0,5,5370,802,0.13832355984822353,0.9261814418765092,<15000,0.008571428571428572,0.3,267.3333333333333,1790.0
Iredell,9,161037,124865,18958,424,3374,44,2235,9659,9659,417,72,49,331,149900,20187,0.12535628458056222,0.9308419804144389,100000-200000,0.025714285714285714,0.9,2243.0,16655.555555555555
Jones,1,10060,6180,3204,59,35,2,158,360,360,21,0,1,16,9638,758,0.07534791252485089,0.958051689860835,<15000,0.002857142857142857,0.1,758.0,9638.0
Lee,4,58531,34687,11511,267,494,19,821,9453,9453,445,81,52,255,47799,19739,0.3372400949923972,0.8166441714646939,45000-60000,0.011428571428571429,0.4,4934.75,11949.75
Lenoir,2,59411,30367,23941,178,314,33,598,3300,3300,187,31,70,49,55431,6937,0.1167628890272845,0.9330090387302015,45000-60000,0.005714285714285714,0.2,3468.5,27715.5
Mitchell,2,15356,14412,61,40,58,2,136,510,510,81,6,15,22,14709,1144,0.07449856733524356,0.9578666319353999,15000-30000,0.005714285714285714,0.2,572.0,7354.5
Pasquotank,1,40266,22211,15009,126,481,14,734,1304,1304,63,25,7,82,38575,2785,0.06916505240152983,0.9580042715939006,30000-45000,0.002857142857142857,0.1,2785.0,38575.0
Perquimans,1,13498,9656,3319,40,40,2,143,226,226,8,15,0,23,13200,498,0.03689435471921766,0.977922655208179,<15000,0.002857142857142857,0.1,498.0,13200.0
Rockingham,2,93284,68473,17482,303,425,49,1353,4616,4616,161,28,38,116,88085,9575,0.10264354015694009,0.9442669696839758,60000-100000,0.005714285714285714,0.2,4787.5,44042.5
Cleveland,1,97442,72256,20158,188,768,21,1211,2384,2384,122,58,4,118,94602,5070,0.05203095174565382,0.9708544570103241,60000-100000,0.002857142857142857,0.1,5070.0,94602.0
Watauga,2,51626,47821,817,129,492,12,602,1565,1565,35,24,1,77,49873,3267,0.06328206717545423,0.9660442412737767,45000-60000,0.005714285714285714,0.2,1633.5,24936.5
Caldwell,1,82451,72950,3979,164,461,18,989,3238,3238,299,29,40,117,78561,6961,0.0844259014444943,0.9528204630629101,60000-100000,0.002857142857142857,0.1,6961.0,78561.0
Wilkes,1,68948,61241,2808,108,252,16,720,3430,3430,101,6,21,120,65145,7108,0.10309218541509543,0.9448424899924581,60000-100000,0.002857142857142857,0.1,7108.0,65145.0
Edgecombe,3,56050,20953,32227,146,143,25,444,1585,1585,170,4,18,86,53938,3448,0.06151650312221231,0.9623193577163247,45000-60000,0.008571428571428572,0.3,1149.3333333333333,17979.333333333332
Pender,1,53175,39442,9251,258,221,12,752,2679,2679,205,54,17,137,49936,5771,0.10852844381758345,0.9390879172543488,45000-60000,0.002857142857142857,0.1,5771.0,49936.0
Tyrrell,1,4337,2310,1621,6,88,1,56,208,208,24,0,0,3,4082,443,0.10214433940511874,0.9412035969564215,<15000,0.002857142857142857,0.1,443.0,4082.0
