,STNAME,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
11685,North Carolina,Jones,10060,4859,5201,3257,3283,1456,1772,46,34,11,24,0,3,89,85
11913,North Carolina,Lee,58531,28613,29918,21807,22333,5659,6298,380,332,227,348,37,34,503,573
12141,North Carolina,Lenoir,59411,28322,31089,16460,17207,11153,13131,188,177,148,197,56,47,317,330
12369,North Carolina,Lincol,78297,38763,39534,35735,36397,2192,2217,154,151,181,263,11,28,490,478
12597,North Carolina,McDowell,45053,22509,22544,20836,21155,1057,742,158,157,203,205,14,8,241,277
12825,North Carolina,Mac,33887,16453,17434,15772,16860,289,197,121,99,108,113,9,4,154,161
13053,North Carolina,Madis,20845,10309,10536,9945,10227,184,85,35,30,19,56,3,5,123,133
13281,North Carolina,Marti,24186,11263,12923,6341,6886,4690,5804,48,58,46,50,20,12,118,113
13509,North Carolina,Mecklenburg,943823,455318,488505,281122,288021,136783,163135,3821,3403,23607,23090,548,516,9437,10340
13737,North Carolina,Mitchell,15356,7498,7858,7286,7636,40,34,71,50,25,39,7,10,69,89
13965,North Carolina,Montgomer,27706,13434,14272,10456,10885,2448,2889,110,112,229,217,4,6,187,163
14193,North Carolina,Moore,89262,42567,46695,35648,38380,5428,6555,383,422,329,537,70,73,709,728
14421,North Carolina,Nash,95740,46225,49515,27516,28450,17130,19429,419,439,424,440,18,14,718,743
14649,North Carolina,New Hanover,205966,99337,106629,81327,86117,14257,16314,628,637,1191,1502,115,95,1819,1964
14877,North Carolina,Northamp,21916,10653,11263,4415,4305,6057,6768,52,56,27,20,1,1,101,113
15105,North Carolina,Onslow,184993,102023,82970,80127,63005,15488,13589,876,632,1566,2101,287,257,3679,3386
15333,North Carolina,Orange,134825,64301,70524,50287,54486,7558,8853,413,425,4517,5062,34,53,1492,1645
15561,North Carolina,Pamlic,13244,6754,6490,5159,5094,1443,1234,44,36,19,35,6,6,83,85
15789,North Carolina,Pasquotank,40266,19713,20553,11652,11863,7313,7906,110,79,225,281,10,11,403,413
16017,North Carolina,Pender,53175,26591,26584,21176,20945,4602,4796,252,211,104,171,14,15,443,446
16245,North Carolina,Perquimans,13498,6462,7036,4810,5072,1527,1818,22,26,22,33,0,2,81,85
16473,North Carolina,Pers,39520,19168,20352,13614,14203,5070,5655,172,138,65,73,0,5,247,278
16701,North Carolina,Pi,170791,80468,90323,50375,54142,26582,32497,420,422,1494,1568,122,126,1475,1568
16929,North Carolina,Polk,20288,9717,10571,9079,9879,423,459,52,41,36,50,2,0,125,142
17157,North Carolina,Randolph,141858,69887,71971,63320,65159,4089,4325,754,675,703,782,41,40,980,990
17385,North Carolina,Richmond,46651,22918,23733,14486,14849,7015,7457,696,673,251,253,29,30,441,471
17613,North Carolina,Robes,135183,65660,69523,21761,22241,15950,17396,25689,27664,569,547,87,83,1604,1592
17841,North Carolina,Rockingham,93284,44956,48328,35473,37616,8283,9439,252,212,204,249,42,45,702,767
