,STNAME,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,TOT_NHWA,TOT_NHBA,TOT_NHIA,TOT_NHAA,TOT_NHNA,TOT_NHTOM,TOT_HWA,TOT_HBA,TOT_HIA,TOT_HAA,TOT_HNA,TOT_HTOM
19893,North Carolina,Transylvania,32807,15814,16993,14292,15578,673,574,47,49,65,89,3,6,223,288,470,382,10,7,17,3,0,1,2,3,12,13,29870,1247,96,154,9,511,852,17,20,1,5,25
20121,North Carolina,Tyrrell,4337,2393,1944,1207,1103,995,626,3,3,49,39,1,0,23,33,93,115,9,11,12,12,0,0,0,0,1,2,2310,1621,6,88,1,56,208,20,24,0,0,3
20349,North Carolina,Uni,204888,101112,103776,75109,77561,11344,12314,329,309,1671,1844,33,41,1364,1422,10090,9228,441,473,354,256,65,59,39,24,273,245,152670,23658,638,3515,74,2786,19318,914,610,124,63,518
20577,North Carolina,Vance,45288,21206,24082,8993,9921,10242,12343,43,42,93,112,5,6,244,217,1219,1075,192,199,114,109,4,4,1,3,56,51,18914,22585,85,205,11,461,2294,391,223,8,4,107
20805,North Carolina,Wake,928787,451531,477256,282376,293732,86896,102949,1267,1375,25681,26485,147,172,8144,8825,38244,35053,3835,4063,2702,2368,365,342,137,142,1737,1750,576108,189845,2642,52166,319,16969,73297,7898,5070,707,279,3487
21033,North Carolina,Warre,20998,10662,10336,4078,3877,5489,5434,507,564,22,30,2,1,144,142,271,200,71,45,59,32,3,4,1,0,15,7,7955,10923,1071,52,3,286,471,116,91,7,1,22
21261,North Carolina,Washing,12904,6052,6852,2780,3050,2901,3482,9,14,14,22,1,0,76,67,178,143,43,34,24,21,0,0,0,0,26,19,5830,6383,23,36,1,143,321,77,45,0,0,45
21489,North Carolina,Watauga,51626,25854,25772,23835,23986,475,342,69,60,224,268,5,7,277,325,869,696,33,18,12,23,13,11,0,1,42,35,47821,817,129,492,12,602,1565,51,35,24,1,77
21717,North Carolina,Wayne,124038,60867,63171,34207,34564,18104,20672,174,174,550,858,29,26,1101,1068,5660,4810,452,486,291,226,52,58,58,37,189,192,68771,38776,348,1408,55,2169,10470,938,517,110,95,381
21945,North Carolina,Wilkes,68948,34015,34933,29929,31312,1513,1295,54,54,108,144,10,6,367,353,1832,1598,71,54,48,53,3,3,13,8,67,53,61241,2808,108,252,16,720,3430,125,101,6,21,120
22173,North Carolina,Wils,81155,38698,42457,19161,20769,14427,17218,96,102,349,339,15,20,443,477,3641,3028,326,306,116,87,29,16,16,12,79,83,39930,31645,198,688,35,920,6669,632,203,45,28,162
22401,North Carolina,Yadki,38342,18912,19430,16109,16787,557,598,39,36,35,47,3,2,153,176,1822,1628,44,36,90,65,16,11,18,25,26,19,32896,1155,75,82,5,329,3450,80,155,27,43,45
22629,North Carolina,Yance,17690,8714,8976,8078,8456,72,54,23,18,12,24,0,0,71,67,366,291,25,12,32,31,0,0,25,12,10,11,16534,126,41,36,0,138,657,37,63,0,37,21
