,STNAME,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE
13737,North Carolina,Mitchell County,15356,7498,7858,7286,7636,40,34,71,50,25,39,7,10,69
13965,North Carolina,Montgomery County,27706,13434,14272,10456,10885,2448,2889,110,112,229,217,4,6,187
14193,North Carolina,Moore County,89262,42567,46695,35648,38380,5428,6555,383,422,329,537,70,73,709
14421,North Carolina,Nash County,95740,46225,49515,27516,28450,17130,19429,419,439,424,440,18,14,718
14649,North Carolina,New Hanover County,205966,99337,106629,81327,86117,14257,16314,628,637,1191,1502,115,95,1819
14877,North Carolina,Northampton County,21916,10653,11263,4415,4305,6057,6768,52,56,27,20,1,1,101
15105,North Carolina,Onslow County,184993,102023,82970,80127,63005,15488,13589,876,632,1566,2101,287,257,3679
15333,North Carolina,Orange County,134825,64301,70524,50287,54486,7558,8853,413,425,4517,5062,34,53,1492
15561,North Carolina,Pamlico County,13244,6754,6490,5159,5094,1443,1234,44,36,19,35,6,6,83
15789,North Carolina,Pasquotank County,40266,19713,20553,11652,11863,7313,7906,110,79,225,281,10,11,403
16017,North Carolina,Pender County,53175,26591,26584,21176,20945,4602,4796,252,211,104,171,14,15,443
16245,North Carolina,Perquimans County,13498,6462,7036,4810,5072,1527,1818,22,26,22,33,0,2,81
16473,North Carolina,Person County,39520,19168,20352,13614,14203,5070,5655,172,138,65,73,0,5,247
16701,North Carolina,Pitt County,170791,80468,90323,50375,54142,26582,32497,420,422,1494,1568,122,126,1475
16929,North Carolina,Polk County,20288,9717,10571,9079,9879,423,459,52,41,36,50,2,0,125
17157,North Carolina,Randolph County,141858,69887,71971,63320,65159,4089,4325,754,675,703,782,41,40,980
17385,North Carolina,Richmond County,46651,22918,23733,14486,14849,7015,7457,696,673,251,253,29,30,441
17613,North Carolina,Robeson County,135183,65660,69523,21761,22241,15950,17396,25689,27664,569,547,87,83,1604
17841,North Carolina,Rockingham County,93284,44956,48328,35473,37616,8283,9439,252,212,204,249,42,45,702
18069,North Carolina,Rowan County,137805,68041,69764,54926,56126,11045,11574,413,313,669,771,41,42,947
18297,North Carolina,Rutherford County,67416,32586,34830,28514,30408,3280,3546,120,94,129,178,16,14,527
18525,North Carolina,Sampson County,63514,31159,32355,21179,21428,8298,9219,991,951,137,180,72,54,482
18753,North Carolina,Scotland County,36275,17763,18512,8283,8664,6959,7216,2007,2102,144,152,8,4,362
18981,North Carolina,Stanly County,60530,30125,30405,25645,26039,3373,3299,118,95,562,547,97,70,330
19209,North Carolina,Stokes County,47142,22994,24148,21590,22751,984,952,103,92,59,96,6,7,252
19437,North Carolina,Surry County,73496,35852,37644,33612,35283,1438,1498,186,176,183,255,22,38,411
19665,North Carolina,Swain County,14007,6806,7201,4569,4802,56,43,1859,2016,31,41,3,1,288
19893,North Carolina,Transylvania County,32807,15814,16993,14762,15960,683,581,64,52,65,90,5,9,235
20121,North Carolina,Tyrrell County,4337,2393,1944,1300,1218,1004,637,15,15,49,39,1,0,24
20349,North Carolina,Union County,204888,101112,103776,85199,86789,11785,12787,683,565,1736,1903,72,65,1637
20577,North Carolina,Vance County,45288,21206,24082,10212,10996,10434,12542,157,151,97,116,6,9,300
20805,North Carolina,Wake County,928787,451531,477256,320620,328785,90731,107012,3969,3743,26046,26827,284,314,9881
21033,North Carolina,Warren County,20998,10662,10336,4349,4077,5560,5479,566,596,25,34,3,1,159
21261,North Carolina,Washington County,12904,6052,6852,2958,3193,2944,3516,33,35,14,22,1,0,102
21489,North Carolina,Watauga County,51626,25854,25772,24704,24682,508,360,81,83,237,279,5,8,319
21717,North Carolina,Wayne County,124038,60867,63171,39867,39374,18556,21158,465,400,602,916,87,63,1290
21945,North Carolina,Wilkes County,68948,34015,34933,31761,32910,1584,1349,102,107,111,147,23,14,434
22173,North Carolina,Wilson County,81155,38698,42457,22802,23797,14753,17524,212,189,378,355,31,32,522
22401,North Carolina,Yadkin County,38342,18912,19430,17931,18415,601,634,129,101,51,58,21,27,179
22629,North Carolina,Yancey County,17690,8714,8976,8444,8747,97,66,55,49,12,24,25,12,81
